c_ClaveProdServ,Descripción,Fecha Inicio Vigencia,Fecha Fin Vigencia,Incluir IVA trasladado,Incluir IEPS trasladado
24112204,Cubos metálicos,10/1/2016,,Opcional,No
24112205,Cubos no metálicos,10/1/2016,,Opcional,No
24112206,Bidones metálicos para líquido inflamable,10/1/2016,,Opcional,No
24112207,Bidones no metálicos para líquido inflamable,10/1/2016,,Opcional,No
24112208,Conjunto pulverizador,10/1/2016,,Opcional,No
24112209,Contenedor de paredes rectas,10/1/2016,,Opcional,No
24112400,"Cofres, armarios y baúles de almacenaje",10/1/2016,,Opcional,No
24112401,"Cofres, cajas o armarios para herramientas",10/1/2016,,Opcional,No
24112402,Armarios para materiales peligrosos,10/1/2016,,Opcional,No
24112403,Cinturón para herramientas,10/1/2016,,Opcional,No
24112404,Caja,10/1/2016,,Opcional,No
24112406,Compartimentos de caja o estantería,10/1/2016,,Opcional,No
24112407,Buzones,10/1/2016,,Opcional,No
24112408,Cajas antiestática,10/1/2016,,Opcional,No
24112409,Tapas para cajas,10/1/2016,,Opcional,No
24112411,Estuches para transporte,10/1/2016,,Opcional,No
24112412,Estuches para transporte de equipo,10/1/2016,,Opcional,No
24112413,Cajas o estuches para guardar banderas,10/1/2016,,Opcional,No
24112414,Caja de almacenamiento refrigerado,10/1/2016,,Opcional,No
24112415,Urnas de votos,10/1/2016,,Opcional,No
24112500,Cartón ondulado y otros materiales para distribución,10/1/2016,,Opcional,No
24112501,Cartones acanalados ranurados,10/1/2016,,Opcional,No
24112502,Cajas de transporte cortadas con troquel de una sola pieza,10/1/2016,,Opcional,No
24112503,Cartones acanalados de transporte cortados con troquel con tapas separadas,10/1/2016,,Opcional,No
24112504,Cajas moldeadas,10/1/2016,,Opcional,No
24112505,Formas de cartón corrugado,10/1/2016,,Opcional,No
24112600,contenedores para líquidos,10/1/2016,,Opcional,No
24112601,Jarras,10/1/2016,,Opcional,No
24112602,Frascos,10/1/2016,,Opcional,No
24112700,Estibas,10/1/2016,,Opcional,No
24112701,Pallets de madera,10/1/2016,,Opcional,No
24112702,Pallets plásticos,10/1/2016,,Opcional,No
24112800,Contenedores de carga,10/1/2016,,Opcional,No
24112801,Contenedor de carga seca,10/1/2016,,Opcional,No
24112802,Contenedor de carga open top,10/1/2016,,Opcional,No
24112803,Contenedor de carga de plataforma,10/1/2016,,Opcional,No
24112804,Contenedor de carga flatrack,10/1/2016,,Opcional,No
24112805,Contenedor de carga de temperatura controlada,10/1/2016,,Opcional,No
24112900,Embalajes,10/1/2016,,Opcional,No
24112901,Embalaje de madera,10/1/2016,,Opcional,No
24112902,Embalaje de plástico,10/1/2016,,Opcional,No
24113000,Lámina termo - retráctil,10/1/2016,,Opcional,No
24113001,Lámina termo - retráctil corrogada,10/1/2016,,Opcional,No
24113002,Lámina termo - retráctil de cartón o cartulina sólida,10/1/2016,,Opcional,No
24113003,Lámina termo - retráctil plástica,10/1/2016,,Opcional,No
24121500,"Cajas, bolsas y sacos para empaquetado",10/1/2016,,Opcional,No
24121502,Sacos o bolsas para empacar,10/1/2016,,Opcional,No
24121503,Cajas para empacar,10/1/2016,,Opcional,No
24121504,Empaques cardados,10/1/2016,,Opcional,No
24121506,Cajas conductivas,10/1/2016,,Opcional,No
24121507,Cajas instaladas rígidas,10/1/2016,,Opcional,No
24121508,Cartones de huevos,10/1/2016,,Opcional,No
24121509,Bandejas para empacar,10/1/2016,,Opcional,No
24121510,Empaques para bolsas de te,10/1/2016,,Opcional,No
24121511,Cartón de empacar,10/1/2016,,Opcional,No
24121512,Ladrillos de hielo o “cold packs”,10/1/2016,,Opcional,No
24121513,Estuche para empacar,10/1/2016,,Opcional,No
24121800,Latas para envasado,10/1/2016,,Opcional,No
24121801,Latas de aerosol,10/1/2016,,Opcional,No
24121802,Latas de pintura o barniz,10/1/2016,,Opcional,No
24121803,Latas de bebida,10/1/2016,,Opcional,No
24121804,Latas de comida,10/1/2016,,Opcional,No
24121805,Latas de acero,10/1/2016,,Opcional,No
24121806,Latas de aluminio,10/1/2016,,Opcional,No
24121807,Recipientes de plástico,10/1/2016,,Opcional,No
24121808,Recipientes de fibra de cartón,10/1/2016,,Opcional,No
24122000,Botellas,10/1/2016,,Opcional,No
24122001,Botellas para apretar,10/1/2016,,Opcional,No
24122002,Botellas de plástico,10/1/2016,,Opcional,No
24122003,Botellas de cristal,10/1/2016,,Opcional,No
24122004,Tapones o tapas,10/1/2016,,Opcional,No
24122005,Botellas de aplicador,10/1/2016,,Opcional,No
24122006,Aplicador,10/1/2016,,Opcional,No
24131500,Refrigeradores industriales,10/1/2016,,Opcional,No
24131501,Refrigerador y congelador combinado,10/1/2016,,Opcional,No
24131502,Refrigeradores de nitrógeno líquido,10/1/2016,,Opcional,No
24131503,Cuartos fríos,10/1/2016,,Opcional,No
24131504,Contenedores refrigerados,10/1/2016,,Opcional,No
24131505,Buques refrigerados,10/1/2016,,Opcional,No
24131506,Tanques refrigerados,10/1/2016,,Opcional,No
24131507,Congelador de golpe,10/1/2016,,Opcional,No
24131508,Gabinete refrigerado,10/1/2016,,Opcional,No
24131509,Refrigerador bajo el mostrador,10/1/2016,,Opcional,No
24131510,Refrigerador de mostrador,10/1/2016,,Opcional,No
24131511,Gabinete de refrigeración para pastelería,10/1/2016,,Opcional,No
24131512,Estación de preparación con gabinete refrigerado,10/1/2016,,Opcional,No
24131513,Refrigerante,10/1/2016,,Opcional,No
24131514,Unidad de almacenamiento de pre - enfriamiento y frío,10/1/2016,,Opcional,No
24131600,Congeladores industriales,10/1/2016,,Opcional,No
24131601,Congeladores horizontales,10/1/2016,,Opcional,No
24131602,Congeladores verticales,10/1/2016,,Opcional,No
24131603,Congeladores a bajas temperaturas,10/1/2016,,Opcional,No
24131604,Equipo de secado por congelación,10/1/2016,,Opcional,No
24131605,Cuartos fríos,10/1/2016,,Opcional,No
24131606,Congeladores de placa,10/1/2016,,Opcional,No
24131607,Congeladores de golpe de frío,10/1/2016,,Opcional,No
24131608,Gabinete de congelación para pastelería,10/1/2016,,Opcional,No
24131609,Congelador bajo el mostrador,10/1/2016,,Opcional,No
24131610,Congelador de mostrador,10/1/2016,,Opcional,No
24131900,Máquinas de hacer el hielo,10/1/2016,,Opcional,No
24131901,Máquinas para hacer cubos de hielo,10/1/2016,,Opcional,No
24131902,Máquinas para hacer bloques de hielo,10/1/2016,,Opcional,No
24131903,Máquinas para hacer hojuelas de hielo,10/1/2016,,Opcional,No
24141500,Suministros para seguridad y protección,10/1/2016,,Opcional,No
24141501,Película elástica para envoltura,10/1/2016,,Opcional,No
24141502,Láminas elásticas de embalaje,10/1/2016,,Opcional,No
24141504,Sellos de seguridad a prueba de manipulación,10/1/2016,,Opcional,No
24141506,Encerados,10/1/2016,,Opcional,No
24141507,Película anti-estática para empacar,10/1/2016,,Opcional,No
24141508,Soporte angular de cartón,10/1/2016,,Opcional,No
24141510,Protectores de cables,10/1/2016,,Opcional,No
24141511,Amarres de carga,10/1/2016,,Opcional,No
24141512,Absorbentes de empaquetado,10/1/2016,,Opcional,No
24141513,Empaques blíster,10/1/2016,,Opcional,No
24141514,Películas para empacar,10/1/2016,,Opcional,No
24141515,Red de protección,10/1/2016,,Opcional,No
24141516,Desecante,10/1/2016,,Opcional,No
24141517,Polifilm,10/1/2016,,Opcional,No
24141518,Láminas separadoras,10/1/2016,,Opcional,No
24141519,Bandas o correas de acero para empacar,10/1/2016,,Opcional,No
24141520,Bandas o correas no metálicas para empacar,10/1/2016,,Opcional,No
24141600,Suministros de acolchados,10/1/2016,,Opcional,No
24141601,Empaque de burbujas,10/1/2016,,Opcional,No
24141602,Materiales de termoformado,10/1/2016,,Opcional,No
24141603,Amortiguación,10/1/2016,,Opcional,No
24141604,Relleno,10/1/2016,,Opcional,No
24141605,Materiales de empaque rellenos de aire,10/1/2016,,Opcional,No
24141606,Bolitas de poliestireno,10/1/2016,,Opcional,No
24141607,Separadores de cartón,10/1/2016,,Opcional,No
24141608,Protecciones externas,10/1/2016,,Opcional,No
24141700,Tubos y núcleos de embalaje y etiquetas y accesorios,10/1/2016,,Opcional,No
24141701,Tubos o núcleos de papel,10/1/2016,,Opcional,No
24141702,Tapones de extremidad tubo o núcleo,10/1/2016,,Opcional,No
24141703,Piezas de papel,10/1/2016,,Opcional,No
24141704,Instrucciones o insertos impresos,10/1/2016,,Opcional,No
24141705,Tubos plegables,10/1/2016,,Opcional,No
24141706,Carrete,10/1/2016,,Opcional,No
24141707,Carretel,10/1/2016,,Opcional,No
24141708,Asas de paquetes,10/1/2016,,Opcional,No
24141709,Tubos o tapones de cápsulas,10/1/2016,,Opcional,No
24141710,Etiqueta de alambre,10/1/2016,,Opcional,No
25101500,Vehículos de pasajeros,10/1/2016,,Opcional,No
25101501,Minibuses,10/1/2016,,Opcional,No
25101502,Autobuses,10/1/2016,,Opcional,No
25101503,Carros,10/1/2016,,Opcional,No
25101504,Station wagons,10/1/2016,,Opcional,No
25101505,Minivans o vans,10/1/2016,,Opcional,No
25101506,Limosinas,10/1/2016,,Opcional,No
25101507,Camiones ligeros o vehículos utilitarios deportivos,10/1/2016,,Opcional,No
25101508,Carro deportivo,10/1/2016,,Opcional,No
25101509,Carro eléctrico,10/1/2016,,Opcional,No
25101600,Vehículos de transporte de productos y materiales,10/1/2016,,Opcional,No
25101601,Volquetas,10/1/2016,,Opcional,No
25101602,Remolques,10/1/2016,,Opcional,No
25101604,Camiones de reparto,10/1/2016,,Opcional,No
25101609,Camiones de manipulación de sedimento y aguas residuales,10/1/2016,,Opcional,No
25101610,Carrotanques,10/1/2016,,Opcional,No
25101611,Camiones de carga,10/1/2016,,Opcional,No
25101612,Camiones concreteros,10/1/2016,,Opcional,No
25101613,Camiones para bombear concreto,10/1/2016,,Opcional,No
25101700,Vehículos de protección y salvamento,10/1/2016,,Opcional,No
25101701,Camiones de bomberos y de rescate,10/1/2016,,Opcional,No
25101702,Carros policiales,10/1/2016,,Opcional,No
25101703,Ambulancias,10/1/2016,,Opcional,No
25101800,Bicicletas de motor,10/1/2016,,Opcional,No
25101801,Motocicletas,10/1/2016,,Opcional,No
25101802,Scooters,10/1/2016,,Opcional,No
25101803,Velomotores,10/1/2016,,Opcional,No
25101804,Sidecar de motocicleta,10/1/2016,,Opcional,No
25101900,Vehículos especializados o de recreo,10/1/2016,,Opcional,No
25101901,Tractores agrícolas,10/1/2016,,Opcional,No
25101902,Casas rodantes,10/1/2016,,Opcional,No
25101903,Trineos motorizados o motos de nieve,10/1/2016,,Opcional,No
25101904,Carritos de golf,10/1/2016,,Opcional,No
25101905,Vehículos todoterreno de ruedas o de tracción,10/1/2016,,Opcional,No
25101906,Karts,10/1/2016,,Opcional,No
25101907,Remolques de camping o caravanas,10/1/2016,,Opcional,No
25101908,Cuatrimoto,10/1/2016,,Opcional,No
25101909,Vehículos anfibios,10/1/2016,,Opcional,No
25101910,Camiones aspersores de agua,10/1/2016,,Opcional,No
25101911,Camión con plataforma aérea de trabajo,10/1/2016,,Opcional,No
25101912,Camión escalera,10/1/2016,,Opcional,No
25101913,Camión refrigerador,10/1/2016,,Opcional,No
25101914,Carro de la basura o vehículo de recolección de desperdicios,10/1/2016,,Opcional,No
25101915,Camión petrolero,10/1/2016,,Opcional,No
25101916,Camión tolva,10/1/2016,,Opcional,No
25101917,Camabaja,10/1/2016,,Opcional,No
25101918,Vehículo eléctrico de vecindario,10/1/2016,,Opcional,No
25101919,Barredora de calles,10/1/2016,,Opcional,No
25101920,Carro de seguridad,10/1/2016,,Opcional,No
25101921,Carros para transporte de líquidos exceptuando petróleo,10/1/2016,,Opcional,No
25101922,Camión de reparación de calles,10/1/2016,,Opcional,No
25101923,Tractor de orugas,10/1/2016,,Opcional,No
25101924,Vehículo limpiador de barandas,10/1/2016,,Opcional,No
25101925,Camión de signos,10/1/2016,,Opcional,No
25101926,Camión quitanieves,10/1/2016,,Opcional,No
25101927,Camión esparcidor de sal,10/1/2016,,Opcional,No
25101928,Camión de medios móvil,10/1/2016,,Opcional,No
25101929,Van oficina,10/1/2016,,Opcional,No
25101930,Camión con equipo de iluminación,10/1/2016,,Opcional,No
25101931,Van para radiodifusión externa,10/1/2016,,Opcional,No
25101932,Camión para controlar multitudes,10/1/2016,,Opcional,No
25101933,Camión grúa,10/1/2016,,Opcional,No
25101934,Coche fúnebre,10/1/2016,,Opcional,No
25101935,Camión rociador de líquidos,10/1/2016,,Opcional,No
25101936,Camión de vacío,10/1/2016,,Opcional,No
25101937,Bus para tratamiento y exámenes médicos,10/1/2016,,Opcional,No
25101938,Sangre – móvil,10/1/2016,,Opcional,No
25102000,Vehículos de guerra,10/1/2016,,Opcional,No
25102001,Tanques,10/1/2016,,Opcional,No
25102002,Carros de combate acorazados,10/1/2016,,Opcional,No
25102003,Artillería motorizada,10/1/2016,,Opcional,No
25102100,Camiones tractores,10/1/2016,,Opcional,No
25102101,Tractores delanteros de cabina baja,10/1/2016,,Opcional,No
25102102,Tractomulas de nariz alargada con cama,10/1/2016,,Opcional,No
25102103,Tractomulas de nariz alargada sin cama,10/1/2016,,Opcional,No
25102104,Tractomulas con cabina encima del motor con cama,10/1/2016,,Opcional,No
25102105,Tractomulas con cabina encima del motor sin cama,10/1/2016,,Opcional,No
25102106,Cabezote,10/1/2016,,Opcional,No
25111500,Embarcaciones marítimas comerciales,10/1/2016,,Opcional,No
25111501,Barcos pesqueros,10/1/2016,,Opcional,No
25111502,Botes de pesca,10/1/2016,,Opcional,No
25111503,Buques de carga o de contenedores,10/1/2016,,Opcional,No
25111504,Embarcación para dragados,10/1/2016,,Opcional,No
25111505,Buques cisterna,10/1/2016,,Opcional,No
25111506,Remolcadores,10/1/2016,,Opcional,No
25111507,Barcazas,10/1/2016,,Opcional,No
25111508,Transbordadores de pasajeros o vehículos,10/1/2016,,Opcional,No
25111509,Buques de cruceros,10/1/2016,,Opcional,No
25111510,Naves de salvamento,10/1/2016,,Opcional,No
25111511,Barco de tripulación de gas o petróleo,10/1/2016,,Opcional,No
25111512,Barco de trabajo de gas o petróleo,10/1/2016,,Opcional,No
25111513,Barco para sísmica,10/1/2016,,Opcional,No
25111514,Rompehielos,10/1/2016,,Opcional,No
25111515,Carguero de gas líquido,10/1/2016,,Opcional,No
25111516,Bote de caucho inflable,10/1/2016,,Opcional,No
25111517,Batiscafo (hovercraft),10/1/2016,,Opcional,No
25111518,Buque hospital,10/1/2016,,Opcional,No
25111519,Bote de carreras,10/1/2016,,Opcional,No
25111520,Boya,10/1/2016,,Opcional,No
25111521,Ancla marina,10/1/2016,,Opcional,No
25111522,Carguero tanquero químico,10/1/2016,,Opcional,No
25111523,Buque fábrica,10/1/2016,,Opcional,No
25111524,Buque granelero,10/1/2016,,Opcional,No
25111525,Buque roll on – roll off,10/1/2016,,Opcional,No
25111526,Buque taladro,10/1/2016,,Opcional,No
25111527,Bote de remos,10/1/2016,,Opcional,No
25111528,Bote de cuarentena,10/1/2016,,Opcional,No
25111529,Buque de meteorología,10/1/2016,,Opcional,No
25111530,Bote de piloto,10/1/2016,,Opcional,No
25111531,Barco para levantamientos hidrográficos,10/1/2016,,Opcional,No
25111532,Nave para recolección de escombros,10/1/2016,,Opcional,No
25111533,Buque de entrenamiento,10/1/2016,,Opcional,No
25111534,Buque de investigación,10/1/2016,,Opcional,No
25111535,Buque para el tendido de cable,10/1/2016,,Opcional,No
25111600,Embarcaciones de seguridad y salvamento,10/1/2016,,Opcional,No
25111601,Lanchas o balsas salvavidas,10/1/2016,,Opcional,No
25111602,Nave para apagar incendios,10/1/2016,,Opcional,No
25111603,Buques o botes de rescate,10/1/2016,,Opcional,No
25111700,Embarcaciones militares,10/1/2016,,Opcional,No
25111701,Submarinos,10/1/2016,,Opcional,No
25111702,Portaviones,10/1/2016,,Opcional,No
25111703,Barcos de munición,10/1/2016,,Opcional,No
25111704,Barcos de asalto anfibio,10/1/2016,,Opcional,No
25111705,Muelles anfibios de transporte,10/1/2016,,Opcional,No
25111706,Buques anfibios de comando,10/1/2016,,Opcional,No
25111707,Buques de comando,10/1/2016,,Opcional,No
25111708,Buques de guerra,10/1/2016,,Opcional,No
25111709,Destructores,10/1/2016,,Opcional,No
25111710,Buques de desembarco,10/1/2016,,Opcional,No
25111711,Buques de apoyo de combate rápido,10/1/2016,,Opcional,No
25111712,Fragatas,10/1/2016,,Opcional,No
25111713,Buques petroleros de escuadra,10/1/2016,,Opcional,No
25111714,Embarcación de desembarque de uso general,10/1/2016,,Opcional,No
25111715,Embarcación mecanizada o de uso general,10/1/2016,,Opcional,No
25111716,Buques buscaminas,10/1/2016,,Opcional,No
25111717,Buques dragaminas,10/1/2016,,Opcional,No
25111718,Embarcaciones de patrulla costera,10/1/2016,,Opcional,No
25111719,Buques nodriza para submarinos,10/1/2016,,Opcional,No
25111720,Botes para desembarco de tanques,10/1/2016,,Opcional,No
25111721,Embarcaciones de desembarque aerodeslizadas,10/1/2016,,Opcional,No
25111722,Barco guardacostas,10/1/2016,,Opcional,No
25111723,Bote de patrulla pesquera,10/1/2016,,Opcional,No
25111724,Nave de entrenamiento de pesca,10/1/2016,,Opcional,No
25111725,Nave de investigación de pesca,10/1/2016,,Opcional,No
25111726,Nave para el control de la contaminación marina,10/1/2016,,Opcional,No
25111800,Embarcaciones de recreo,10/1/2016,,Opcional,No
25111801,Embarcaciones a vela de recreo,10/1/2016,,Opcional,No
25111802,Lanchas de recreo a motor,10/1/2016,,Opcional,No
25111803,Lanchas de recreo a remo,10/1/2016,,Opcional,No
25111804,Canoas o kayaks,10/1/2016,,Opcional,No
25111805,Artefactos a motor de uso personal,10/1/2016,,Opcional,No
25111806,Balsas,10/1/2016,,Opcional,No
25111807,Lanchas pequeñas,10/1/2016,,Opcional,No
25111808,Yates,10/1/2016,,Opcional,No
25111900,Sistemas y premontajes de embarcaciones marítimas,10/1/2016,,Opcional,No
25111901,Sistemas de comunicaciones de embarcaciones marítimas,10/1/2016,,Opcional,No
25111902,Hélices marítimas,10/1/2016,,Opcional,No
25111903,Velas,10/1/2016,,Opcional,No
25111904,Remos,10/1/2016,,Opcional,No
25111905,Sistemas balísticos de la marina,10/1/2016,,Opcional,No
25111906,Cuñas de ancla,10/1/2016,,Opcional,No
25111907,Cables de ancla,10/1/2016,,Opcional,No
25111908,Recuperadores de ancla,10/1/2016,,Opcional,No
25111909,Rodillos de ancla,10/1/2016,,Opcional,No
25111910,Rampas de embarcaciones,10/1/2016,,Opcional,No
25111911,Bicheros,10/1/2016,,Opcional,No
25111912,Recogedores de botavaras,10/1/2016,,Opcional,No
25111913,Escotillas de cubierta,10/1/2016,,Opcional,No
25111914,Argollas de amarre,10/1/2016,,Opcional,No
25111915,Escaleras de muelle,10/1/2016,,Opcional,No
25111916,Señales de teñido de emergencia,10/1/2016,,Opcional,No
25111917,Alabantes,10/1/2016,,Opcional,No
25111918,Sistemas de recogido de velas,10/1/2016,,Opcional,No
25111919,Protectores de la quilla,10/1/2016,,Opcional,No
25111920,Defensas,10/1/2016,,Opcional,No
25111921,Cuellos de ganso marinos,10/1/2016,,Opcional,No
25111922,Cabos de amarre,10/1/2016,,Opcional,No
25111923,Bloqueos de remos,10/1/2016,,Opcional,No
25111924,Reflectores de radar,10/1/2016,,Opcional,No
25111925,Timones,10/1/2016,,Opcional,No
25111926,Refuerzos de velas,10/1/2016,,Opcional,No
25111927,Botavaras,10/1/2016,,Opcional,No
25111928,Fundas de velas,10/1/2016,,Opcional,No
25111929,Sacas,10/1/2016,,Opcional,No
25111930,Palos de espinaquer,10/1/2016,,Opcional,No
25111931,Plataformas de popa,10/1/2016,,Opcional,No
25111932,Cortavientos,10/1/2016,,Opcional,No
25111933,Relojes de mareas,10/1/2016,,Opcional,No
25111934,Cañas de timones,10/1/2016,,Opcional,No
25111935,Berlingas,10/1/2016,,Opcional,No
25111936,Propulsor marino,10/1/2016,,Opcional,No
25111937,Protector de mástil,10/1/2016,,Opcional,No
25111938,Generador marino de agua fresca,10/1/2016,,Opcional,No
25111939,Engranaje de dirección marino,10/1/2016,,Opcional,No
25111940,Simulador de navegación marina,10/1/2016,,Opcional,No
25121500,Locomotoras y vagonetas eléctricas,10/1/2016,,Opcional,No
25121501,Locomotoras diesel de carga,10/1/2016,,Opcional,No
25121502,Locomotoras eléctricas de carga,10/1/2016,,Opcional,No
25121503,Locomotoras diesel de pasajeros,10/1/2016,,Opcional,No
25121504,Locomotoras eléctricas de pasajeros,10/1/2016,,Opcional,No
25121600,Vagones de ferrocarril y tranvía,10/1/2016,,Opcional,No
25121601,Vagones de carga,10/1/2016,,Opcional,No
25121602,Vagones cisterna,10/1/2016,,Opcional,No
25121603,Vagones de pasajeros,10/1/2016,,Opcional,No
25121604,Vagones tolva o góndolas,10/1/2016,,Opcional,No
25121605,Tranvías,10/1/2016,,Opcional,No
25121700,Equipo y sistemas de apoyo ferroviario,10/1/2016,,Opcional,No
25121701,Sistemas de cambiavías,10/1/2016,,Opcional,No
25121702,Traviesas,10/1/2016,,Opcional,No
25121703,Vías férreas,10/1/2016,,Opcional,No
25121704,Eclisas,10/1/2016,,Opcional,No
25121705,Enganches de rieles,10/1/2016,,Opcional,No
25121706,Aparatos de tracción,10/1/2016,,Opcional,No
25121707,Conjuntos de bogie,10/1/2016,,Opcional,No
25121708,Riel férreo pesado,10/1/2016,,Opcional,No
25121709,Riel férreo pesado de segundo uso,10/1/2016,,Opcional,No
25121710,Riel férreo liviano,10/1/2016,,Opcional,No
25121711,Riel férreo liviano de segundo uso,10/1/2016,,Opcional,No
25121712,Amarre férreo de acero,10/1/2016,,Opcional,No
25121713,Contacto eléctrico de rieles,10/1/2016,,Opcional,No
25121714,Conmutador férreo de giro de rieles pesados,10/1/2016,,Opcional,No
25121715,Conmutador férreo de giro de rieles livianos,10/1/2016,,Opcional,No
25121716,Amarre férreo de madera,10/1/2016,,Opcional,No
25121717,Unión eléctrica de rieles,10/1/2016,,Opcional,No
25131500,Aeronave de alas fijas motorizada,10/1/2016,,Opcional,No
25131501,Aeronave agrícola de ala fija,10/1/2016,,Opcional,No
25131502,Avión de carga de hélice,10/1/2016,,Opcional,No
25131503,Hidroaviones,10/1/2016,,Opcional,No
25131504,Avión de hélice comercial de pasajeros,10/1/2016,,Opcional,No
25131505,Avión jet de carga,10/1/2016,,Opcional,No
25131506,Avión jet de pasajeros,10/1/2016,,Opcional,No
25131507,Avión de hélice privado o de negocios,10/1/2016,,Opcional,No
25131508,Jet privado o de negocios,10/1/2016,,Opcional,No
25131509,Aeronave de entrenamiento de ala fija,10/1/2016,,Opcional,No
25131600,Aeronave de alas giratorias civil y comercial,10/1/2016,,Opcional,No
25131601,Helicópteros de pasajeros,10/1/2016,,Opcional,No
25131602,Helicópteros de carga,10/1/2016,,Opcional,No
25131603,Helicópteros agrícolas,10/1/2016,,Opcional,No
25131604,Helicópteros médicos o de rescate,10/1/2016,,Opcional,No
25131605,Aeronave de entrenamiento de ala rotativa o helicóptero de entrenamiento,10/1/2016,,Opcional,No
25131700,Aeronave de ala fija militar,10/1/2016,,Opcional,No
25131701,Avión bombardero,10/1/2016,,Opcional,No
25131702,Avión cazabombardero,10/1/2016,,Opcional,No
25131703,Avión de caza,10/1/2016,,Opcional,No
25131704,Avión de ataque,10/1/2016,,Opcional,No
25131705,Aviones no tripulados objetivo o de reconocimiento,10/1/2016,,Opcional,No
25131706,Hidroaviones militares,10/1/2016,,Opcional,No
25131707,Aeronave de reconocimiento o vigilancia,10/1/2016,,Opcional,No
25131708,Avión antisubmarino,10/1/2016,,Opcional,No
25131709,Avión de transporte militar,10/1/2016,,Opcional,No
25131800,Avión especial,10/1/2016,,Opcional,No
25131801,Dirigibles,10/1/2016,,Opcional,No
25131802,Aeromodelo,10/1/2016,,Opcional,No
25131900,Avión militar de ala giratoria,10/1/2016,,Opcional,No
25131902,Helicópteros de transporte militar,10/1/2016,,Opcional,No
25131903,Helicópteros de ataque,10/1/2016,,Opcional,No
25131904,Helicópteros de reconocimiento,10/1/2016,,Opcional,No
25131905,Helicópteros antisubmarinos,10/1/2016,,Opcional,No
25131906,Aeronave de alas giratorias basculantes,10/1/2016,,Opcional,No
25132000,Avión de recreo,10/1/2016,,Opcional,No
25132001,Aerodeslizadores,10/1/2016,,Opcional,No
25132002,Globos aerostáticos,10/1/2016,,Opcional,No
25132003,Planeadores,10/1/2016,,Opcional,No
25132004,Parapente,10/1/2016,,Opcional,No
25132005,Aviones ultralivianos,10/1/2016,,Opcional,No
25151500,Naves espaciales,10/1/2016,,Opcional,No
25151501,Nave espacial tripulada,10/1/2016,,Opcional,No
25151502,Estructuras de naves espaciales,10/1/2016,,Opcional,No
25151700,Satélites,10/1/2016,,Opcional,No
25151701,Satélites de comunicación,10/1/2016,,Opcional,No
25151702,Satélites meteorológicos,10/1/2016,,Opcional,No
25151703,Satélites militares,10/1/2016,,Opcional,No
25151704,Satélites científicos o de investigación,10/1/2016,,Opcional,No
25151705,Satélites de navegación,10/1/2016,,Opcional,No
25151706,Satélites geoestacionarios,10/1/2016,,Opcional,No
25151707,Satélites de órbita cercana a la tierra,10/1/2016,,Opcional,No
25151708,Satélites de órbita sincronizada con el sol,10/1/2016,,Opcional,No
25151709,Satélites geo – sincronizados,10/1/2016,,Opcional,No
25161500,Vehículos a pedal,10/1/2016,,Opcional,No
25161501,Bicicletas de turismo,10/1/2016,,Opcional,No
25161502,Monociclos,10/1/2016,,Opcional,No
25161503,Triciclos,10/1/2016,,Opcional,No
25161504,Bicicletas tándem,10/1/2016,,Opcional,No
25161505,Bicicletas de montaña,10/1/2016,,Opcional,No
25161506,Bicicletas de carreras,10/1/2016,,Opcional,No
25161507,Bicicletas,10/1/2016,,Opcional,No
25161508,Bicicletas reclinadas,10/1/2016,,Opcional,No
25161509,Bicicletas para niños,10/1/2016,,Opcional,No
25161510,Bicicletas de cuatro ruedas o cuadriciclos,10/1/2016,,Opcional,No
25171500,Limpiaparabrisas,10/1/2016,,Opcional,No
25171502,limpiaparabrisas para automóviles,10/1/2016,,Opcional,No
25171503,Limpiaparabrisas para locomotoras,10/1/2016,,Opcional,No
25171504,Limpiaparabrisas marítimos,10/1/2016,,Opcional,No
25171505,Limpiaparabrisas de camión,10/1/2016,,Opcional,No
25171506,Bomba de lava parabrisas,10/1/2016,,Opcional,No
25171507,Cuchillas limpiadoras,10/1/2016,,Opcional,No
25171508,Motor del limpiaparabrisas,10/1/2016,,Opcional,No
25171600,Sistemas de descarchado y antiniebla,10/1/2016,,Opcional,No
25171602,Sistemas de desescarchado y antiniebla para automóviles,10/1/2016,,Opcional,No
25171603,Sistemas de desescarchado y antiniebla para trenes,10/1/2016,,Opcional,No
25171700,Sistemas de frenado y componentes,10/1/2016,,Opcional,No
25171702,Sistemas de frenado para automóviles,10/1/2016,,Opcional,No
25171703,Sistemas de frenado para trenes,10/1/2016,,Opcional,No
25171704,Chutes de arrastre,10/1/2016,,Opcional,No
25171705,Rotores,10/1/2016,,Opcional,No
25171706,Calibrador de frenaje,10/1/2016,,Opcional,No
25171707,Freno de tambor,10/1/2016,,Opcional,No
25171708,Freno de disco,10/1/2016,,Opcional,No
25171709,Freno enfriado con líquido,10/1/2016,,Opcional,No
25171710,Cilindros principales,10/1/2016,,Opcional,No
25171711,Cilindros esclavos,10/1/2016,,Opcional,No
25171712,Zapatas de freno de tambor,10/1/2016,,Opcional,No
25171713,Almohadillas de discos de freno,10/1/2016,,Opcional,No
25171714,Tambor de freno,10/1/2016,,Opcional,No
25171715,Rotores de frenos de disco,10/1/2016,,Opcional,No
25171716,Líneas de freno,10/1/2016,,Opcional,No
25171717,Pistones de freno,10/1/2016,,Opcional,No
25171718,Kits de reparación de frenos,10/1/2016,,Opcional,No
